Date,Vendor Name,Country,Product,Gross Bookings,Fees
1/1/2015,Vendor A,Country 34,Product 4,58377.91,2208.64
1/1/2015,Vendor A,Country 21,Product 9,7416.97,304.01
1/1/2015,Vendor A,Country 1,Product 8,22.53,0.42
1/1/2015,Vendor A,Country 3,Product 9,200600.67,13702.9
1/1/2015,Vendor A,Country 44,Product 2,4,0.34
1/1/2015,Vendor A,Country 45,Product 4,19523.24,927.4
1/1/2015,Vendor A,Country 4,Product 4,1592.16,68.38
1/1/2015,Vendor A,Country 39,Product 9,61241.34,4534.13
1/1/2015,Vendor A,Country 46,Product 4,306.18,17.47
1/1/2015,Vendor A,Country 47,Product 8,5.33,0.08
1/1/2015,Vendor A,Country 52,Product 9,47432.37,4721.05
1/1/2015,Vendor A,Country 12,Product 3,2.65,0.07
1/1/2015,Vendor A,Country 52,Product 4,62576.11,5651.15
1/1/2015,Vendor A,Country 22,Product 9,95.96,7.01
1/1/2015,Vendor A,Country 20,Product 9,42563.74,3566.28
1/1/2015,Vendor A,Country 19,Product 4,3664.33,333.96
1/1/2015,Vendor A,Country 2,Product 8,12.32,0.46
1/1/2015,Vendor A,Country 7,Product 9,2878172.91,319170.46
1/1/2015,Vendor A,Country 9,Product 3,11.63,0.49
1/1/2015,Vendor A,Country 8,Product 10,11.03,0.93
1/1/2015,Vendor A,Country 35,Product 3,634.6,13.9
1/1/2015,Vendor A,Country 6,Product 10,50.58,4.25
1/1/2015,Vendor A,Country 43,Product 2,19.49,1.64
1/1/2015,Vendor A,Country 35,Product 10,627.33,52.72
1/1/2015,Vendor A,Country 26,Product 12,1932.62,161.57
1/1/2015,Vendor A,Country 48,Product 4,2643.9,52.44
1/1/2015,Vendor A,Country 31,Product 4,161433.12,9757.08
1/1/2015,Vendor A,Country 25,Product 8,0.91,0.03
1/1/2015,Vendor A,Country 6,Product 4,38582.29,1297.74
1/1/2015,Vendor A,Country 2,Product 14,122.91,7.91
