Date,Vendor Name,Country,Product, Gross Bookings , Fees ,Fees/ Gross Bookings,,,Total Cell Range:,7911
3/1/2015,Vendor B,Country 9,Product 6,184.32,5.16,0.027994792,,,,
3/1/2015,Vendor B,Country 34,Product 6,47676.74,1334.95,0.028000027,,,,
3/1/2015,Vendor B,Country 35,Product 6,1926225.45,53934.3,0.027999993,,,,
3/1/2015,Vendor B,Country 11,Product 6,4381.13,122.65,0.027995061,,,,
3/1/2015,Vendor B,Country 23,Product 6,6915.96,196.82,0.028458811,,,,
3/1/2015,Vendor C,Country 43,Product 7,6206.53,115.3,0.018577208,,,,
3/1/2015,Vendor C,Country 27,Product 7,15769.21,292.18,0.018528512,,,,
3/1/2015,Vendor C,Country 5,Product 7,3177.82,59.08,0.018591361,,,,
3/1/2015,Vendor A,Country 52,Product 9,74067.31,6490.8,0.087633802,,,,
3/1/2015,Vendor A,Country 18,Product 9,650093.89,44144.48,0.067904776,,,,
3/1/2015,Vendor A,Country 33,Product 4,16236.9,759.32,0.046765084,,,,
3/1/2015,Vendor A,Country 10,Product 2,133.37,11.37,0.085251556,,,,
3/1/2015,Vendor A,Country 27,Product 4,47380.8,1465.8,0.030936582,,,,
3/1/2015,Vendor A,Country 48,Product 10,69.28,5.83,0.08415127,,,,
3/1/2015,Vendor A,Country 30,Product 10,1039.13,87.92,0.08460924,,,,
3/1/2015,Vendor A,Country 7,Product 1,10210.74,308.44,0.030207409,,,,
3/1/2015,Vendor A,Country 30,Product 2,71.12,5.98,0.08408324,,,,
3/1/2015,Vendor A,Country 44,Product 4,11435.33,726.18,0.063503196,,,,
3/1/2015,Vendor A,Country 22,Product 4,1155.87,70.57,0.061053579,,,,
3/1/2015,Vendor A,Country 51,Product 12,97.22,8.11,0.08341905,,,,
3/1/2015,Vendor A,Country 37,Product 3,12.27,0.26,0.021189894,,,,
3/1/2015,Vendor A,Country 7,Product 15,48.55,0.72,0.014830072,,,,
3/1/2015,Vendor A,Country 29,Product 2,109.14,9.19,0.084203775,,,,
3/1/2015,Vendor A,Country 29,Product 12,40477.24,3505.07,0.086593602,,,,
3/1/2015,Vendor A,Country 51,Product 3,9.74,0.21,0.021560575,,,,
3/1/2015,Vendor A,Country 40,Product 2,453.03,38.37,0.084696378,,,,
3/1/2015,Vendor A,Country 12,Product 12,1125.03,93.46,0.08307334,,,,
3/1/2015,Vendor F,Country 2,Product 2,895974,28637.89,0.031962858,,,,
3/1/2015,Vendor D,Country 2,Product 4,3004252.94,111804.1,0.037215275,,,,
3/1/2015,Vendor D,Country 2,Product 16, $-   ,7655.64,#VALUE!,,,,
3/1/2015,Vendor B,Country 55,Product 6,45996.03,1333.85,0.028999242,,,,
3/1/2015,Vendor B,Country 30,Product 6,78320.97,2192.99,0.028000036,,,,
3/1/2015,Vendor B,Country 33,Product 6,5761.77,158.45,0.02750023,,,,
3/1/2015,Vendor G,Country 19,Product 17,489267.8,6144.28,0.012558112,,,,
3/1/2015,Vendor C,Country 56,Product 7,127.31,2.37,0.018615977,,,,
3/1/2015,Vendor A,Country 8,Product 9,1186791.07,75776.87,0.063850219,,,,
3/1/2015,Vendor A,Country 5,Product 4,8353.89,398.8,0.047738239,,,,
